name,region,prefix,set_code,set_type,release_date,set_card_list_name,set_card_gallery_name,image_url
Deck-Build Pack: Spirit Warriors,Japanese,DBSW-JP,DBSW,Booster pack,2017-08-11,Set Card Lists:Deck-Build Pack: Spirit Warriors (OCG-JP),Set Card Galleries:Deck-Build Pack: Spirit Warriors (OCG-JP),https://ms.yugipedia.com//c/c2/DBSW-BoosterJP.png
Deck-Build Pack: Tactical Masters,Japanese,DBTM-JP,DBTM,Booster pack,2022-03-19,Set Card Lists:Deck-Build Pack: Tactical Masters (OCG-JP),Set Card Galleries:Deck-Build Pack: Tactical Masters (OCG-JP),https://ms.yugipedia.com//1/18/DBTM-BoosterJP.png
Deck-Build Pack: Valiant Smashers,Japanese,DBVS-JP,DBVS,Booster pack,2023-08-26,Set Card Lists:Deck-Build Pack: Valiant Smashers (OCG-JP),Set Card Galleries:Deck-Build Pack: Valiant Smashers (OCG-JP),https://ms.yugipedia.com//6/6c/DBVS-BoosterJP.png
Deck-Build Pack: Wild Survivors,Japanese,DBWS-JP,DBWS,Booster pack,2023-03-18,Set Card Lists:Deck-Build Pack: Wild Survivors (OCG-JP),Set Card Galleries:Deck-Build Pack: Wild Survivors (OCG-JP),https://ms.yugipedia.com//d/df/DBWS-BoosterJP.png
Diabellstar Duel Set,Japanese,24YJ-JPT,24YJ,Promotional card,2024-04-28,Set Card Lists:Diabellstar Duel Set (OCG-JP),Set Card Galleries:Diabellstar Duel Set (OCG-JP),https://ms.yugipedia.com//d/d5/DiabellstarDuelSet-PromoJP.png
Dimension Box Limited Edition,Japanese,DBLE-JP,DBLE,Preconstructed Deck,2016-11-26,Set Card Lists:Dimension Box Limited Edition (OCG-JP),Set Card Galleries:Dimension Box Limited Edition (OCG-JP),https://ms.yugipedia.com//3/35/DBLE-DeckJP.png
Dimension Force,Japanese,DIFO-JP,DIFO,Booster pack,2022-01-15,Set Card Lists:Dimension Force (OCG-JP),Set Card Galleries:Dimension Force (OCG-JP),https://ms.yugipedia.com//8/8b/DIFO-BoosterEN.png
Dimension Force +1 Bonus Pack,Japanese,DIFO-JPS,DIFO,Booster pack,2022-01-15,Set Card Lists:Dimension Force +1 Bonus Pack (OCG-JP),Set Card Galleries:Dimension Force +1 Bonus Pack (OCG-JP),https://ms.yugipedia.com//d/dd/DIFO-BoosterJP-BonusPack.png
Dimension of Chaos,Japanese,DOCS-JP,DOCS,Booster pack,2015-07-18,Set Card Lists:Dimension of Chaos (OCG-JP),Set Card Galleries:Dimension of Chaos (OCG-JP),https://ms.yugipedia.com//c/c1/DOCS-BoosterEN.png
Don Thousand Boss Duel Deck,Japanese,BD-JP,BD,Boss Duel Deck,2014-05-25,Set Card Lists:Don Thousand Boss Duel Deck (OCG-JP),Set Card Galleries:Don Thousand Boss Duel Deck (OCG-JP),https://ms.yugipedia.com//0/07/Boss_Duel_banner.png
Doom of Dimensions,Japanese,DOOD-JP,DOOD,Booster pack,2025-07-26,Set Card Lists:Doom of Dimensions (OCG-JP),,
Dragon Ruler Duel Set,Japanese,25YJ-JPT,25YJ,Promotional card,2025-04-12,Set Card Lists:Dragon Ruler Duel Set (OCG-JP),,https://ms.yugipedia.com//a/a6/DragonRulerDuelSet-PromoJP.png
Duel Academia Selection,Japanese,VP25-JP,VP25,Booster pack,2025-05-28,Set Card Lists:Duel Academia Selection (OCG-JP),,https://ms.yugipedia.com//f/fa/VP25-BoosterJP.png
Duel Art Campaign promotional card,Japanese,YGOPR-JP,YGOPR,Promotional card,2011-12-10,Set Card Lists:Duel Art Campaign promotional card (OCG-JP),Set Card Galleries:Duel Art Campaign promotional card (OCG-JP),https://ms.yugipedia.com//3/3a/Duel_Art_cover.jpg
Duel Disk,Japanese,,,,,Set Card Lists:Duel Disk (OCG-JP),Set Card Galleries:Duel Disk (OCG-JP),
Duel Disk - Yusei Version,Japanese,DDY1-JP,DDY1,,2009-09-26,Set Card Lists:Duel Disk - Yusei Version (OCG-JP),Set Card Galleries:Duel Disk - Yusei Version (OCG-JP),
Duel Disk - Yusei Version DX,Japanese,DDY2-JP,DDY2,Duel Disk promotional cards,2009-11-21,Set Card Lists:Duel Disk - Yusei Version DX (OCG-JP),Set Card Galleries:Duel Disk - Yusei Version DX (OCG-JP),https://ms.yugipedia.com//4/42/DDY2-BoxJP.jpg
Duel Disk - Yusei Version DX - Limited Edition,Japanese,DDY2-JP,DDY2,Duel Disk promotional cards,2009-11-21,Set Card Lists:Duel Disk - Yusei Version DX - Limited Edition (OCG-JP),,https://ms.yugipedia.com//8/8b/DDY2-BoxJP-LE.png
Duel Disk - Yusei Version DX 2010,Japanese,DDY3-JP,DDY3,Duel Disk promotional cards,2010-11-20,Set Card Lists:Duel Disk - Yusei Version DX 2010 (OCG-JP),Set Card Galleries:Duel Disk - Yusei Version DX 2010 (OCG-JP),https://ms.yugipedia.com//d/d2/DDY3-PromoJP.png
Duel Field EX Epic of Noble Knights: Holy Sword of Guidance,Japanese,EONK-JP,EONK,,2014-12-20,Set Card Lists:Duel Field EX Epic of Noble Knights: Holy Sword of Guidance (OCG-JP),Set Card Galleries:Duel Field EX Epic of Noble Knights: Holy Sword of Guidance (OCG-JP),https://ms.yugipedia.com//4/49/EONK-PromoJP.png
Duel Master's Guide promotional cards,Japanese,DMG-JP,DMG,Special Edition,2006-03-15,Set Card Lists:Duel Master's Guide promotional cards (OCG-JP),Set Card Galleries:Duel Master's Guide promotional cards (OCG-JP),https://ms.yugipedia.com//4/4a/DMG-PromoEN.png
Duel Monsters II tournament meeting experience promotional card,Japanese,,,Participation card,1999-04-29,Set Card Lists:Duel Monsters II tournament meeting experience promotional card (OCG-JP),Set Card Galleries:Duel Monsters II tournament meeting experience promotional card (OCG-JP),https://ms.yugipedia.com//7/7f/Jump_Trial.jpg
Duel Royale Deck Set EX,Japanese,DR01-JP,DR01,Collector's Set,2021-07-10,Set Card Lists:Duel Royale Deck Set EX (OCG-JP),Set Card Galleries:Duel Royale Deck Set EX (OCG-JP),https://ms.yugipedia.com//b/b8/DR01-DeckJP.png
Duel Royale Deck Set EX Round 2,Japanese,DR02-JP,DR02,Collector's Set,2022-04-29,Set Card Lists:Duel Royale Deck Set EX Round 2 (OCG-JP),Set Card Galleries:Duel Royale Deck Set EX Round 2 (OCG-JP),https://ms.yugipedia.com//9/93/DR02-DeckJP.png
Duel Terminal - Champion of Chaos!!,Japanese,DT05-JP,DT05,Duel Terminal,2009-04-14,Set Card Lists:Duel Terminal - Champion of Chaos!! (OCG-JP),Set Card Galleries:Duel Terminal - Champion of Chaos!! (OCG-JP),https://ms.yugipedia.com//9/93/DT05-Poster-JP.png
Duel Terminal - Charge of the Genex!!,Japanese,DT07-JP,DT07,Duel Terminal,2009-10-01,Set Card Lists:Duel Terminal - Charge of the Genex!! (OCG-JP),Set Card Galleries:Duel Terminal - Charge of the Genex!! (OCG-JP),https://ms.yugipedia.com//b/b0/DT07-JP-Poster.png
Duel Terminal - Demon Roar God Revival!!,Japanese,DT04-JP,DT04,Duel Terminal,2008-12-04,Set Card Lists:Duel Terminal - Demon Roar God Revival!! (OCG-JP),Set Card Galleries:Duel Terminal - Demon Roar God Revival!! (OCG-JP),https://ms.yugipedia.com//9/90/DT04-Poster-JP.png
Duel Terminal - Dragunity of the Hurricane!!,Japanese,DT06-JP,DT06,Duel Terminal,2009-07-01,Set Card Lists:Duel Terminal - Dragunity of the Hurricane!! (OCG-JP),Set Card Galleries:Duel Terminal - Dragunity of the Hurricane!! (OCG-JP),https://ms.yugipedia.com//0/0d/DT06-Poster-JP.png
